"","resTime_Jan_tmin_voccMag","resTime_Jan_tmin_voccAng","resTime_Jun_tmin_voccMag","resTime_Jun_tmin_voccAng","resTime_Jan_tmax_voccMag","resTime_Jan_tmax_voccAng","resTime_Jun_tmax_voccMag","resTime_Jun_tmax_voccAng","resTime_Jan_ppt_voccMag","resTime_Jan_ppt_voccAng","resTime_Jun_ppt_voccMag","resTime_Jun_ppt_voccAng","resTime_Jan_dsi_voccMag","resTime_Jan_dsi_voccAng","resTime_Jun_dsi_voccMag","resTime_Jun_dsi_voccAng"
"MAPS_LSLP",27.5091145018207,0.0764396429509008,140.259390642565,0.04307517839926,19.2567567639561,0.0767695006954259,140.259390642565,0.04307517839926,48.8393170008443,0.0356377603534362,62.9045676589023,0.0359149491166578,2.59193842262504,0.0780873343003052,3.72248994421769,0.032069048614004
"MAPS_LSLP2",28.9241220753519,0.0392496977203972,149.101228856524,0.0710782481810639,21.5963077823203,0.0396293070938277,149.101228856524,0.0710782481810639,52.2575471621486,0.0508215579028781,67.2732736522652,0.0516031178951519,3.2729849979267,0.0406504796678662,3.70689550948081,0.0458074563548069
"MAPS_MORS",29.0553322878258,0.107575091318365,307.710189291289,0.0992022898690191,273.718082245794,0.0994422242181618,307.710189291289,0.0992022898690191,498.334763862815,0.0328943446599819,99.4827752791079,0.048930669307975,9.93856066639933,0.0477849181652824,0.731929982795869,0.044389125483144
"MAPS_NERI",108.071679439996,0.0489870598586254,20.4097028759011,0.0610016346894989,52.1666429536572,0.0640422509441168,20.4097028759011,0.0610016346894989,84.3737419816627,0.0353041518102632,64.9410343123089,0.0526750045886549,7.14041118670147,0.0618626952361041,31.9517479061424,0.0392408659528739
"MAPS_PALO",130.104331648552,0.0531500950591998,608.920912327991,0.0531622806180679,242.037264559509,0.0531540744821285,608.920912327991,0.0531622806180679,104.409127596164,0.107527940479061,13.608949518375,0.0531546470350962,3.65710908970781,0.0528277635390711,5.11122251476561,0.10707916504913
"MAPS_PALO2",166.999093740044,0.0507801392125461,917.999781381731,0.052133342967461,314.698797877507,0.0519658271753807,917.999781381731,0.052133342967461,157.335300940498,0.199283005092,11.8106582103185,0.210336508940234,4.17981647780843,0.0409088052969922,8.22238292470443,0.19050564629505
"MAPS_PALO3",120.302149720359,0.0650039065562057,543.053000297315,0.065031942840729,213.133567533858,0.065371021388633,543.053000297315,0.065031942840729,95.4911331763185,0.0869496945341028,9.76965568907933,0.054585955448903,3.2709531102105,0.0653474388100975,5.27526397920501,0.0877544732812627
"MAPS_PALO4",155.710794460917,0.0343735755225171,601.617575124004,0.0505974663001946,259.603384257553,0.0506415029425831,601.617575124004,0.0505974663001946,114.24437484328,0.0503382371925244,14.8739235326034,0.0491667792849064,5.5076482527174,0.0343213359392344,7.03001418445377,0.05024729289597
"MAPS_PEND",123.317679074078,0.0536341682443275,1216.85426544306,0.0527988232360284,332.322409923581,0.053208630401808,1216.85426544306,0.0527988232360284,49.3643163268531,0.0521150186718461,10.2924075158113,0.0529766387522636,65.889217081655,0.0518356667542911,10.2842091305807,0.0522344308797401
"MAPS_PEND2",40.8854066372458,0.0541628180144667,585.195849231796,0.0438320105591555,31.9055530669057,0.0450046305182849,585.195849231796,0.0438320105591555,14.308159214794,0.0823204750586411,4.49985120935379,0.0556484034826596,143.905989301321,0.0511042719452662,7.99780886378323,0.0558171783696189
"MAPS_POCO",231.872186901797,0.0523128608671361,3946.37174442366,0.0519170089547905,54.6505458363717,0.0519113886567361,3946.37174442366,0.0519170089547905,816.429370054664,0.0520438025801005,156.201461619727,0.104808843477204,18.1800939139956,0.105192350184866,10.0741681681241,0.105839169628471
"MAPS_POCO2",346.993996944685,0.0506890728698016,2976.17308727079,0.0991509989145833,24.6124118922794,0.0501366769560355,2976.17308727079,0.0991509989145833,1047.69296783736,0.0502888043225035,164.057659841329,0.0984382936896357,28.1022507590761,0.0996795328998187,14.9153032995411,0.0990684177649113
"MAPS_RERA",20.3136499746774,0.0554070067744961,384.359828238563,0.0548087161291133,473.790555510841,0.0547806352006324,384.359828238563,0.0548087161291133,118.022110890967,0.0540452328782828,77.1551827099846,0.0540662790443353,25.2850076372796,0.0555342046583479,2.94957302341861,0.0552968035100566
"MAPS_ROSE",18.0203541055233,0.0466459535245481,171.293366157531,0.0417490128676887,35.7429244242685,0.0447100322430187,171.293366157531,0.0417490128676887,815.109322602981,0.0517220804921811,67.7486017460994,0.0523375584170271,21.2132766100257,0.0416328182728367,4.47151349427964,0.0508806719493504
"MAPS_SBNE",65.4934015084406,0.149807142008204,108.817880971359,0.0395327575813404,59.9020973489979,0.0400834955465823,108.817880971359,0.0395327575813404,112.966175791973,0.050410450463987,22.0878759278537,0.0496859388760526,95.9537329738275,0.0392469075568798,1.81926279250514,0.0489216246100564
